,id,description,image,images,relevant,processed_description,text_score
0,918707,Boys Among Us Hoodies Super Cool Print Clothes Girls 3D Funny Sweatshirt Costume Children Autumn Clothing Kids Baby Pullovers,968bf5e6c99211c2ad8ac27fa55e4651b941d137,['968bf5e6c99211c2ad8ac27fa55e4651b941d137'],1,boys among us hoodies super cool print clothes girls 3d funny sweatshirt costume children autumn clothing kids baby pullovers,0.19241625340000001
1,918708,Cat And Dog Cardboard Printing Jigsaw Puzzle Manufactory Accept MOQ 1008 For Each Image With Blue And Grey Paperboard,68ece3fab138feb537eee296f3348f3543e23a1d,"['68ece3fab138feb537eee296f3348f3543e23a1d', '3ce77f09443ba29af161e412c085033fd57430a8']",0,cat dog cardboard printing jigsaw puzzle manufactory accept moq 1008 image blue grey paperboard,0.0308345834
2,918709,0098 30 Pcs 21pack Sensory 4 Piece Puzzle Fidget Set Leopard Amongus Push Pop Bubble Fidget Toys Set For Kids Autism Stress,a31d8c30452d17221b0d8d4f9ccf50bf8dfff0cf,"['a31d8c30452d17221b0d8d4f9ccf50bf8dfff0cf', 'b37482f47f50596b1833d24fc894f6a0dcb5af32']",0,0098 30 pcs 21pack sensory 4 piece puzzle fidget set leopard amongus push pop bubble fidget toys set kids autism stress,0.0011731452
3,918710,Boys Sweatshirt Among us 3D Hoodies Cool Fashionable Children Autumn 3D Printed Hoodies Girl Game Pullover Hoodies Sweatshirts,a278812a832f24a822e2602b91a7b1f5749926cb,['a278812a832f24a822e2602b91a7b1f5749926cb'],1,boys sweatshirt among us 3d hoodies cool fashionable children autumn 3d printed hoodies girl game pullover hoodies sweatshirts,0.2758414246
4,918711,20cm Among Us Soft Plush Toys Vocal Butt Toy Stuffed Figure Plush Toys Pillow Pure Color Dolls Stuffed Animals for Children,3f7fc0f877323f4b74cb9a4c3847d3eea6f3ae5a,['3f7fc0f877323f4b74cb9a4c3847d3eea6f3ae5a'],0,20cm among us soft plush toys vocal butt toy stuffed figure plush toys pillow pure color dolls stuffed animals children,0.0008614562
5,918712,10cm Christmas gift hat Wholesale High Quality among us plush Design Plush Amongus Game Plush Toy Stuffed Doll,9a12a490fcea7313378b1e83425fae86ddc81124,"['9a12a490fcea7313378b1e83425fae86ddc81124', 'e2843278351f8c311d1735b9748a8d40b69b6c99']",0,10cm christmas gift hat wholesale high quality among us plush design plush amongus game plush toy stuffed doll,0.0048351386
6,918713,Large Size Cartoon Among of Us Foil Balloon Inflatable Helium Balloons Wedding Decoration Happy Amongus Birthday Party Supplies,533a514c8c422f93173db706aeb8a2e87603e575,['533a514c8c422f93173db706aeb8a2e87603e575'],1,large size cartoon among us foil balloon inflatable helium balloons wedding decoration happy amongus birthday party supplies,0.3918305535
7,918714,Pulpo Anime Plushie Reversible Flip Two-sided Among Us Plush Toy Kawaii Amongus Stuffed Animals Doll Toys for Kids Birthday Gift,7dc026543aaf6863f0bc810acda21e888cec7693,['7dc026543aaf6863f0bc810acda21e888cec7693'],0,pulpo anime plushie reversible flip two sided among us plush toy kawaii amongus stuffed animals doll toys kids birthday gift,0.002692387
8,918715,Wholesale Silicone Big Size Amongus Game Board Fidget Toys Chessboard Push Bubble Sensory Toy Fidget Chess Board,c24c8919bfeb37dbca1422e373d6f79693efedcd,"['c24c8919bfeb37dbca1422e373d6f79693efedcd', '94498833be17608038554d1000480c6e8669584b']",0,wholesale silicone big size amongus game board fidget toys chessboard push bubble sensory toy fidget chess board,0.0023751487
9,918716,2021 new Soft Plush Among of Us stuff Plush toys AmongUs Game Plushs Toy Stuffed Doll Christmas Gift Cute Plushie Kid Gift,c74d92fc4f342df4e9a7bf9db1b77ad5cfeea89c,['c74d92fc4f342df4e9a7bf9db1b77ad5cfeea89c'],0,2021 new soft plush among us stuff plush toys amongus game plushs toy stuffed doll christmas gift cute plushie kid gift,0.0019530094
10,918717,Kawaii Plush Toy Doll Among Us Plush Soft Plush Toy Stuffed Doll Keychain Birthday Anime Bag Pendant Children's Cartoon Gift Toy,58a20f7443781c01313b768cafd50d61c1e1417a,['58a20f7443781c01313b768cafd50d61c1e1417a'],0,kawaii plush toy doll among us plush soft plush toy stuffed doll keychain birthday anime bag pendant children cartoon gift toy,0.00042920640000000004
11,918718,Amongus Running Sensory Simple Mini Among Us Popper Small Crazy Push Bubbles Fidget Toy,c239a8346b8528d479bd783e95124e549ca4dba0,"['c239a8346b8528d479bd783e95124e549ca4dba0', '4e65b3f51d252c3a0b08d95d7d1df8af44f0c9ea']",0,amongus running sensory simple mini among us popper small crazy push bubbles fidget toy,0.0548905764
12,918719,jumbo 30cm 40cm rainbow mini amongus big popit fidget toy set game bubble push pop,4df5428199de63c96f67a377ab7cdc771a9ef5d1,"['4df5428199de63c96f67a377ab7cdc771a9ef5d1', 'a1a587b40c277ad4394c9785c2180081d80e0b49']",0,jumbo 30cm 40cm rainbow mini amongus big popit fidget toy set game bubble push pop,0.0049014966
13,918720,2021 Among Us Kids Hoodie Hip Hop Game Hoodie Boys Among Us Pullover 2021 Spring And Fall New Products Girls Boy Impostor Hoodie,39cf23c3398969a3c37949206563f22f6a32fcad,['39cf23c3398969a3c37949206563f22f6a32fcad'],1,2021 among us kids hoodie hip hop game hoodie boys among us pullover 2021 spring fall new products girls boy impostor hoodie,0.4731742223
14,918721,2021Trending Products Rainbow Star Shape Silicone Amongus Plush Poppies,9b1a58d7518de9683b9f59f74da21beff79ed102,"['9b1a58d7518de9683b9f59f74da21beff79ed102', '28837dce9b510d420f135f3619d8396444e7a64b']",0,2021trending products rainbow star shape silicone amongus plush poppies,0.0111848064
15,918722,Luxurious and comfortable 30cm / 20cm / 10cm plush toys among US soft stuffed dolls popular games characters animals plush toys,0efde6e8e8498ec92bba07470b516c832f51dc9c,['0efde6e8e8498ec92bba07470b516c832f51dc9c'],0,luxurious comfortable 30cm 20cm 10cm plush toys among us soft stuffed dolls popular games characters animals plush toys,0.0036555388
16,918723,Anime Game Among Us Keychain Space Werewolf Kill Key Chains Cute Cartoon Amongus Game Decoration Pendant Car Keys Keyrings,8658d259b32d38fafde93a91b05581072f1fdf66,['8658d259b32d38fafde93a91b05581072f1fdf66'],0,anime game among us keychain space werewolf kill key chains cute cartoon amongus game decoration pendant car keys keyrings,0.5538127852
17,918724,COD Ready Stock Hot Sale 10/20cm Soft Among Us Plush Plushie Game Stuffed Doll Amongus Toys Amoung Kids Birthday Christmas Gift,dcd35198dbcc36fca45e6e1075e6c69ac0b2f7bb,['dcd35198dbcc36fca45e6e1075e6c69ac0b2f7bb'],0,cod ready stock hot sale 10 20cm soft among us plush plushie game stuffed doll amongus toys amoung kids birthday christmas gift,0.005336164500000001
18,918725,Top quality amongus plush toy toys for kids pillow toy hedgehog,cc47e5e9c6da775ffeb32b6eb6f29f5acd80e358,"['cc47e5e9c6da775ffeb32b6eb6f29f5acd80e358', '2d7811b532a0253aec5932147e8e3d4539d48066']",0,top quality amongus plush toy toys kids pillow toy hedgehog,0.0022732952
19,918726,"2021 Kawaii Style Soft Plush Stuffed Animal For Kids, Among Us Kawaii Style Stuffed Doll With , Great As A Christmas Gift Toys",f9a95ce8ba0d6c55daedc60805c7ca8740f30843,['f9a95ce8ba0d6c55daedc60805c7ca8740f30843'],0,2021 kawaii style soft plush stuffed animal kids among us kawaii style stuffed doll great christmas gift toys,0.0045232716
20,918727,Among Of Us Plush Toy Soft Plushie Stuffed Doll Cosplay Kawaii Game Among As Peluche Christmas Gifts for Children Free Shipping,d502b24e3d6de8aef90ec3333231781bcd3ee9b6,['d502b24e3d6de8aef90ec3333231781bcd3ee9b6'],0,among us plush toy soft plushie stuffed doll cosplay kawaii game among peluche christmas gifts children free shipping,0.0132220745
21,918728,Double Side Reversible Among us plush stuffed toy Kids Christmas Gift Home Decoration Kawaii Animal Doll flip among us plush Toy,08221fe432a30bfbab6ce9f5d24a3d7bca4ddcc1,['08221fe432a30bfbab6ce9f5d24a3d7bca4ddcc1'],0,double side reversible among us plush stuffed toy kids christmas gift home decoration kawaii animal doll flip among us plush toy,0.0008793015
22,918729,Among Us Hot Game Tattoo Sticker Action Figure AmongUs Cartoon Waterproof Sticker Kids Christmas Birthday easy to use,e63eeaf641772399fad108d7518c7f20ae6cf2df,['e63eeaf641772399fad108d7518c7f20ae6cf2df'],0,among us hot game tattoo sticker action figure amongus cartoon waterproof sticker kids christmas birthday easy use,0.9155287286
23,918730,Children Mask Roblox Amongus Game Cartoon Mouth Masks Filters Anti Dust Child Face Mask Disposable Protective Masque Boys Girls,638e9be202ab92c212cdf7df446df88f14d90fba,['638e9be202ab92c212cdf7df446df88f14d90fba'],0,children mask roblox amongus game cartoon mouth masks filters anti dust child face mask disposable protective masque boys girls,0.2383529898
24,918731,Among Us Boy Impostor 2021 Autumn Hoodies of Baby Boy Boy Sport Hoodies 4-14 Year Boy Sweartershirt Cotton Clothing for Kids Boy,964f6286af44044b456938af6107e15ff184a23e,['964f6286af44044b456938af6107e15ff184a23e'],1,among us boy impostor 2021 autumn hoodies baby boy boy sport hoodies 4 14 year boy sweartershirt cotton clothing kids boy,0.4868198291
25,918732,Among of Us Pop Fidget Reliver Stress Toys Amongus Push It Bubble Antistress Toys Adult Children Sensory Toy To Relieve Autism,f1eb2466233b2033367e7d3eb51fa9bc8fe745a4,['f1eb2466233b2033367e7d3eb51fa9bc8fe745a4'],0,among us pop fidget reliver stress toys amongus push bubble antistress toys adult children sensory toy relieve autism,0.0067520084000000005
26,918733,2021 Autumn Winter Among Us New Design 4-14Years Children Among Us Impostor Sweatshirt For Kids Baby Boy Game Impostor Hoodies,0694f3ec53e00b1008a662c41db3a5d27025187d,['0694f3ec53e00b1008a662c41db3a5d27025187d'],1,2021 autumn winter among us new design 4 14years children among us impostor sweatshirt kids baby boy game impostor hoodies,0.9808476132
27,918734,12 Colores Among Us Plus Keychain 10CM Stress Squeeze Make Sound AmongUs Plush Keychain Toy Bag Key chain Pendant,76a12d15ddd12600de572dddd2990f01a7bfab44,"['76a12d15ddd12600de572dddd2990f01a7bfab44', '2bb15b05cd6e242086781bbc57da7178c5712ad9']",1,12 colores among us plus keychain 10cm stress squeeze make sound amongus plush keychain toy bag key chain pendant,0.007675088
28,918735,Factory Wholesale 15cm filp reversible baby yoda Reversible amongus pika Reversible Stitch avocado mood reversible plush Toy,8fa52930b2c6766780c8922322161f1e3abd2472,"['8fa52930b2c6766780c8922322161f1e3abd2472', 'c8d2831e1942c67a171ac12b0c2251ab39c155ef']",0,factory wholesale 15cm filp reversible baby yoda reversible amongus pika reversible stitch avocado mood reversible plush toy,0.0053921442
