,image,words,OCR_score
84,among (37).jpg,"[['impostor', 'vwomc n2', 'among us'], [0.9978665709495544, 0.7738887071609497, 0.9927451610565186]]",0.9978665709495544
13,among (32).jpg,"[['among us', 'impostor', 'among us', 'impostor'], [0.8866251111030579, 0.9919834136962891, 0.8786640167236328, 0.9954046010971069]]",0.9954046010971069
126,among (138).jpg,"[['impostor', 'vwona n2', 'among us'], [0.9951813220977783, 0.6581472158432007, 0.9718468189239502]]",0.9951813220977783
68,among (74).jpg,"[['impostor'], [0.9944888353347778]]",0.9944888353347778
14,among (18).jpg,"[['among us', 'impostor'], [0.9103841185569763, 0.9936795234680176]]",0.9936795234680176
83,among (88).jpg,"[['vwonq n2', 'among us', 'impostor'], [0.7949525117874146, 0.9445849657058716, 0.9929629564285278]]",0.9929629564285278
20,among (25).jpg,"[['mpostors', 'trust me', 'red seems kinda sus', 'sabotage', 'vote', 'uemergency', 'meeting', 'su', 'who', 'sus', 'where', 'impostor'], [0.9845621585845947, 0.9654695987701416, 0.9456832408905029, 0.985430896282196, 0.9954023361206055, 0.9581761360168457, 0.9946643114089966, 0.6809333562850952, 0.9976933598518372, 0.814911425113678, 0.9936243295669556, 0.9921196699142456]]",0.9921196699142456
42,among (52).jpg,"[['emergency', 'scus', 'meeting', 'apmong us', 'iam the', 'impostor', 'impostor', 'report'], [0.9925819039344788, 0.5429757833480835, 0.9950695633888245, 0.8735328316688538, 0.8862334489822388, 0.9901293516159058, 0.9906656742095947, 0.9956797957420349]]",0.9906656742095947
147,among (1).jpg,"[['vwoud n2', 'among us', 'impostor'], [0.818354606628418, 0.9929673671722412, 0.9865270853042603]]",0.9865270853042603
7,among (13).jpg,"[['impostor', 'vwonq n2', 'among us'], [0.9841533303260803, 0.7427158951759338, 0.9169769287109375]]",0.9841533303260803
54,among (71).jpg,"[['impostor'], [0.9747896194458008]]",0.9747896194458008
79,among (84).jpg,"[['amonic', 'among us', 'amonguamong', 'amongus', 'happy birthdp', 'imposto', 'happy birthoay', 'aimongus', 'among', 'happy brthoay', 'trust one', '1', 'sh', 'impostor', 'you look', 'sus ', 'day', 'you', 'you', 'happ', 'logk', 'look', 'sus', 'you look', 'impostor', 'sus', 'trust me'], [0.7842296957969666, 0.8294793367385864, 0.8037731647491455, 0.8743141889572144, 0.7971184849739075, 0.9931405782699585, 0.8984714150428772, 0.8308857679367065, 0.8897444009780884, 0.9153584241867065, 0.9328441619873047, 0.5102518796920776, 0.9485010504722595, 0.8594992160797119, 0.8493617177009583, 0.8934609293937683, 0.8453653454780579, 0.8993386626243591, 0.9786927700042725, 0.9911012649536133, 0.799498438835144, 0.7573876976966858, 0.5792955756187439, 0.8636500835418701, 0.9648662805557251, 0.6047714352607727, 0.953029453754425]]",0.9648662805557251
135,among (146).jpg,"[['vwona n2', 'among us', 'impostor'], [0.7509503960609436, 0.9397555589675903, 0.9586484432220459]]",0.9586484432220459
146,among (157).jpg,"[['vwoud n2', 'among us', 'impostor'], [0.8349958658218384, 0.9778190851211548, 0.8860375285148621]]",0.8860375285148621
123,among (133).jpg,"[['echeck', 'that s ', 'kin', 'sus', 'tho', '3us', 'simp', 'sabota', 'sus', 'peek a ', 'tt', '3to na meha', 'imposter', '40', 'uquh', 'ahaha', 'bruh ', 'vile'], [0.9724559783935547, 0.8885904550552368, 0.844313383102417, 0.9132525324821472, 0.9984340667724609, 0.6116713881492615, 0.9558842182159424, 0.9991686940193176, 0.7279428839683533, 0.9854541420936584, 0.6910581588745117, 0.6726534366607666, 0.9947267770767212, 0.820171058177948, 0.6359214782714844, 0.881542980670929, 0.9839083552360535, 0.742962121963501]]",0.870385929942131
